source_date,source_time,dataset,instrument,surface,tenor,metric,value,unit,day_change,percentile_1y,percentile_3y,observations_1y,observations_3y,source_url
2026-09-02,10:00,options,USD.CNY,25D RR,2W,implied_vol_ask,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2W,implied_vol_bid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2W,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2Y,implied_vol_ask,0.5,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2Y,implied_vol_bid,-0.5,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,2Y,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3M,implied_vol_ask,0.025,pct,-0.325,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3M,implied_vol_bid,0.025,pct,0.375,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3M,implied_vol_mid,0.025,pct,0.025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3W,implied_vol_ask,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3W,implied_vol_bid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3W,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3Y,implied_vol_ask,0.5,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3Y,implied_vol_bid,-0.5,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,3Y,implied_vol_mid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,6M,implied_vol_ask,0.025,pct,0.025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,6M,implied_vol_bid,0.025,pct,0.025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,6M,implied_vol_mid,0.025,pct,0.025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,9M,implied_vol_ask,0.05,pct,0.05,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,9M,implied_vol_bid,0.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D RR,9M,implied_vol_mid,0.025,pct,0.025,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,18M,implied_vol_ask,3.4,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,18M,implied_vol_bid,3.0,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,18M,implied_vol_mid,3.2,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,1D,implied_vol_ask,1.3,pct,-0.2,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,1D,implied_vol_bid,1.3,pct,-0.2,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,1D,implied_vol_mid,1.3,pct,-0.2,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,1M,implied_vol_ask,1.5,pct,-0.0107,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,ATM,1M,implied_vol_bid,1.5,pct,-0.0107,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
